#Clade                                                Targets  Neighbors  Unknowns  Split (%)  Parent  Dist(Parent)
nGCA_000520035.1_ASM52003v1_genomic.fna               0        0          1         3.85       275     7.11e-06
nGCA_000520055.1_ASM52005v1_genomic.fna               0        0          1         3.85       273     1.45e-06
nGCA_000618005.3_ASM61800v3_genomic.fna               0        0          1         3.85       165     0.000902
nGCA_000618905.3_ASM61890v3_genomic.fna               0        0          1         3.85       101     0.000512
nGCA_000662395.1_ASM66239v1_genomic.fna               0        0          1         3.85       273     2.39e-06
nGCA_000671295.1_ASM67129v1_genomic.fna               0        0          1         3.85       275     5.17e-06
nGCA_000714595.1_ASM71459v1_genomic.fna               0        0          1         3.85       58      0
nGCA_000725265.1_ASM72526v1_genomic.fna               0        0          1         3.85       115     0.00306
nGCA_000725305.1_ASM72530v1_genomic.fna               0        0          1         3.85       209     7.25e-06
nGCA_000743255.1_ASM74325v1_genomic.fna               0        0          1         3.85       57      0
nGCA_000750555.1_ASM75055v1_genomic.fna               0        0          1         3.85       217     0
nGCA_000800215.1_ASM80021v1_genomic.fna               0        0          1         3.85       233     4.54e-07
nGCA_000800765.1_ASM80076v1_genomic.fna               0        0          1         3.85       233     1.53e-06
nGCA_000800845.2_ASM80084v2_genomic.fna               0        0          1         3.85       46      5.74e-05
nGCA_000801205.1_ASM80120v1_genomic.fna               0        0          1         3.85       180     1.68e-06
